part.str,Type,k
LGL 2,RIP,0.004091287
LGL 3,RIP,0.00315787
LGL 4,RIP,0.002645045
LH 1,RIP,0.004581627
LH 2,RIP,0.011845619
LH 3,RIP,0.002815074
LH 4,RIP,0.028068136
LR 1,RIP,0.02015591
LR 2,RIP,0.049826641
LR 3,RIP,0.001823423
LR 4,RIP,0.002113255
LUZB 1,RIP,0.023544787
LUZB 2,RIP,0.007776506
LUZB 3,RIP,0.006878624
LUZB 4,RIP,0.027877615
MANG 1,RIP,0.04745624
MANG 2,RIP,0.0396286
MANG 3,RIP,0.002091875
MANG 4,RIP,0.002403844
MB 1,RIP,0.010943176
MB 2,RIP,0.008164623
MB 3,RIP,0.013466562
MB 4,RIP,0.007629475
MC 1,RIP,0.007868101
MC 2,RIP,0.012512177
MC 3,RIP,0.018081309
MC 4,RIP,0.023441082
MD 1,RIP,0.004710667
MD 2,RIP,0.002349902
MD 3,RIP,0.002772649
MD 4,RIP,0.00185334
MG 1,RIP,0.002226384
MG 2,RIP,0.002700077
MG 3,RIP,0.002272275
MG 4,RIP,0.002599552
MIDA 1,RIP,0.015128044
MIDA 2,RIP,0.021467885
MIDA 3,RIP,0.034188949
MIDA 4,RIP,0.045012875
MINI 1,RIP,0.004067496
MINI 2,RIP,0.001811898
MINI 3,RIP,0.001916839
MINI 4,RIP,0.001992773
MM 1,RIP,0.009196492
MM 2,RIP,0.014861782
MM 3,RIP,0.015276082
MM 4,RIP,0.008811223
NG 1,RIP,0.003423071
NG 2,RIP,0.003658711
NG 3,RIP,0.011209067
NG 4,RIP,0.001512532
PEGS 1,RIP,0.044006424
PEGS 2,RIP,0.017057797
PEGS 3,RIP,0.006515675
PEGS 4,RIP,0.046423966
PEMC 1,RIP,0.009827463
PEMC 2,RIP,0.01723859
PEMC 3,RIP,0.017761205
PEMC 4,RIP,0.03368548
PF 1,RIP,0.001500439
PF 2,RIP,0.001332252
PF 3,RIP,0.001766656
PF 4,RIP,0.001431442
PF 5,RIP,0.00136531
PF 6,RIP,0.002236734
PF 7,RIP,0.001572498
PF 8,RIP,0.001910627
PF 9,RIP,0.002077611
PF 10,RIP,0.002069273
PF 11,RIP,0.002737488
PF 12,RIP,0.002077082
PILI 1,RIP,0.005442017
PILI 2,RIP,0.010296379
PILI 3,RIP,0.006350764
PILI 4,RIP,0.002983103
PL 1,RIP,0.016752883
PL 2,RIP,0.021627801
PL 3,RIP,0.01963143
PL 4,RIP,0.024785073
PW 1,RIP,0.005218141
PW 2,RIP,0.007114497
PW 3,RIP,0.005947507
PW 4,RIP,0.00940443
RALB 1,RIP,0.002609681
RALB 2,RIP,0.00181866
RALB 3,RIP,0.006721745
RALB 4,RIP,0.005697532
RIPA 1,RIP,0.002387291
RIPA 2,RIP,0.00324954
RIPA 3,RIP,0.002185164
RIPA 4,RIP,0.002301728
ROMO 1,RIP,0.017601015
ROMO 2,RIP,0.011292731
ROMO 3,RIP,0.011948462
ROMO 4,RIP,0.010717765
RS 1,RIP,0.00786591
RS 2,RIP,0.006364088
RS 3,RIP,0.006372507
RS 4,RIP,0.007004848
SDG 1,RIP,0.025914591
SDG 2,RIP,0.094102145
SDG 3,RIP,0.03134157
SDG 4,RIP,0.037206968
SE 1,RIP,0.002159966
SE 2,RIP,0.00236964
SE 3,RIP,0.004095571
SE 4,RIP,0.002266001
SH 1,RIP,0.006445331
